base_dir	version_subdir	module	version	mod_time	mod_days	mod_3y	mod_5y	mod_10y
/sw/apps	schrodinger/15.3	schrodinger	15.3	2015-09-09_09:16:38	3184	0	0	1
/sw/apps	scikit-learn/0.22.1	scikit-learn	0.22.1	2020-02-26_19:39:54	1553	0	1	1
/sw/apps	sda-cli/0.1.0	sda-cli	0.1.0	2023-12-15_11:40:03	165	1	1	1
/sw/apps	siesta/3.0.8-ldau	siesta	3.0.8-ldau	2019-01-31_09:45:27	1944	0	0	1
/sw/apps	siesta/3.2-pl4_milou_intel_mkl	siesta	3.2-pl4_milou_intel_mkl	2018-06-25_15:39:18	2164	0	0	1
/sw/apps	siesta/3.2-pl4_nestor_intel_mkl	siesta	3.2-pl4_nestor_intel_mkl	2018-06-25_15:39:18	2164	0	0	1
/sw/apps	siesta/3.2-pl4_tintin_intel_mkl	siesta	3.2-pl4_tintin_intel_mkl	2016-08-08_11:07:59	2850	0	0	1
/sw/apps	siesta/4.0.1_rackham_intel_mkl	siesta	4.0.1_rackham_intel_mkl	2018-06-27_15:36:05	2162	0	0	1
/sw/apps	siesta/4.1-b3_rackham_intel_mkl	siesta	4.1-b3_rackham_intel_mkl	2019-01-31_11:46:05	1944	0	0	1
/sw/apps	Siesta/4.1-b4	Siesta	4.1-b4	2020-04-16_11:48:37	1503	0	1	1
/sw/apps	Siesta/4.1-MaX-1.0	Siesta	4.1-MaX-1.0	2020-10-19_22:17:11	1317	0	1	1
/sw/apps	siesta/diana	siesta	diana	2019-01-31_11:34:47	1944	0	0	1
/sw/apps	siesta/fromOscar-todelete	siesta	fromOscar-todelete	L	L	L	L	L
/sw/apps	siesta/fromOscar-todelete2	siesta	fromOscar-todelete2	L	L	L	L	L
/sw/apps	siesta/fromOscar-todelete3	siesta	fromOscar-todelete3	L	L	L	L	L
/sw/apps	siesta/siesta-4.0.1-compiled-on-rackham	siesta	siesta-4.0.1-compiled-on-rackham	2018-06-27_10:39:59	2162	0	0	1
/sw/apps	siesta/siesta-4.1-b3-compiled-on-rackham	siesta	siesta-4.1-b3-compiled-on-rackham	2018-06-27_14:32:00	2162	0	0	1
/sw/apps	siesta/siesta-ldau-308fix	siesta	siesta-ldau-308fix	2019-01-31_09:23:18	1944	0	0	1
/sw/apps	siesta/tdap-ldau	siesta	tdap-ldau	2019-01-31_09:23:27	1944	0	0	1
/sw/apps	siesta/transiesta-ldau-308fix-rackham	siesta	transiesta-ldau-308fix-rackham	2019-01-31_10:31:24	1944	0	0	1
/sw/apps	simics-src/simcs4	simics-src	simcs4	2009-08-21_12:45:00	5394	0	0	0
/sw/apps	simics-src/simics-3.0-install	simics-src	simics-3.0-install	2009-12-04_11:23:41	5289	0	0	0
/sw/apps	simics-src/simics-pkg-2035-4.2.0-linux64	simics-src	simics-pkg-2035-4.2.0-linux64	2012-01-09_13:46:26	4523	0	0	0
/sw/apps	simics-src/Simics4.2	simics-src	Simics4.2	2011-11-24_14:06:16	4569	0	0	0
/sw/apps	simics-src/x86_64	simics-src	x86_64	2009-09-07_07:27:06	5377	0	0	0
/sw/apps	simics/3.0.31	simics	3.0.31	2009-12-04_11:23:17	5289	0	0	0
/sw/apps	simics/4.0	simics	4.0	2009-09-07_07:53:04	5377	0	0	0
/sw/apps	simics/4.2	simics	4.2	2012-01-09_13:48:41	4523	0	0	0
/sw/apps	simics/x86_64	simics	x86_64	2011-11-24_19:04:38	4569	0	0	0
/sw/apps	simics/x86_64.dir	simics	x86_64.dir	2009-12-04_11:31:49	5289	0	0	0
/sw/apps	simpleitk/1.2.4	simpleitk	1.2.4	2020-02-26_12:37:52	1553	0	1	1
/sw/apps	Singular/4.1.2	Singular	4.1.2	2020-04-24_16:08:44	1495	0	1	1
/sw/apps	solar/4.2.0	solar	4.2.0	2008-10-20_14:20:14	5699	0	0	0
/sw/apps	spm/12	spm	12	2018-11-14_14:06:26	2022	0	0	1
/sw/apps	SPRKKR/7.7.1	SPRKKR	7.7.1	2020-09-11_14:31:20	1355	0	1	1
/sw/apps	SPRKKR/7.7.3	SPRKKR	7.7.3	2020-09-10_10:11:58	1356	0	1	1
/sw/apps	sqlite/3.11.1	sqlite	3.11.1	2018-09-25_13:46:10	2072	0	0	1
/sw/apps	sqlite/3.16.2	sqlite	3.16.2	2023-05-28_22:04:39	366	1	1	1
